name	article
Curved mirror	https://en.wikipedia.org/wiki/Curved_mirror
Cylinder	https://en.wikipedia.org/wiki/Cylinder
DBSCAN	https://en.wikipedia.org/wiki/DBSCAN
Data analysis	https://en.wikipedia.org/wiki/Data_analysis
Data mining	https://en.wikipedia.org/wiki/Data_mining
Data modeling	https://en.wikipedia.org/wiki/Data_modeling
Data processing	https://en.wikipedia.org/wiki/Data_processing
Data type	https://en.wikipedia.org/wiki/Data_type
Decagon	https://en.wikipedia.org/wiki/Decagon
Decision tree	https://en.wikipedia.org/wiki/Decision_tree
Degree (angle)	https://en.wikipedia.org/wiki/Degree_(angle)
Dependent and independent variables	https://en.wikipedia.org/wiki/Dependent_and_independent_variables
Derivative	https://en.wikipedia.org/wiki/Derivative
Descartes' rule of signs	https://en.wikipedia.org/wiki/Descartes%27_rule_of_signs
Descriptive statistics	https://en.wikipedia.org/wiki/Descriptive_statistics
Determinant	https://en.wikipedia.org/wiki/Determinant
Diagonal	https://en.wikipedia.org/wiki/Diagonal
Diameter	https://en.wikipedia.org/wiki/Diameter
Dielectric	https://en.wikipedia.org/wiki/Dielectric
Differential equation	https://en.wikipedia.org/wiki/Differential_equation
Diffraction	https://en.wikipedia.org/wiki/Diffraction
Dispersion (optics)	https://en.wikipedia.org/wiki/Dispersion_(optics)
Displacement (geometry)	https://en.wikipedia.org/wiki/Displacement_(geometry)
Distance	https://en.wikipedia.org/wiki/Distance
Distributive property	https://en.wikipedia.org/wiki/Distributive_property
Division (mathematics)	https://en.wikipedia.org/wiki/Division_(mathematics)
Division by zero	https://en.wikipedia.org/wiki/Division_by_zero
Dodecagon	https://en.wikipedia.org/wiki/Dodecagon
Domain of a function	https://en.wikipedia.org/wiki/Domain_of_a_function
Doppler effect	https://en.wikipedia.org/wiki/Doppler_effect
Dot product	https://en.wikipedia.org/wiki/Dot_product
E (mathematical constant)	https://en.wikipedia.org/wiki/E_(mathematical_constant)
Eccentricity (mathematics)	https://en.wikipedia.org/wiki/Eccentricity_(mathematics)
Edge	https://en.wikipedia.org/wiki/Edge
Edge (geometry)	https://en.wikipedia.org/wiki/Edge_(geometry)
Elastic collision	https://en.wikipedia.org/wiki/Elastic_collision
Elasticity (physics)	https://en.wikipedia.org/wiki/Elasticity_(physics)
Electric charge	https://en.wikipedia.org/wiki/Electric_charge
Electric current	https://en.wikipedia.org/wiki/Electric_current
Electric field	https://en.wikipedia.org/wiki/Electric_field
Electric potential	https://en.wikipedia.org/wiki/Electric_potential
Electric potential energy	https://en.wikipedia.org/wiki/Electric_potential_energy
Electrical conductor	https://en.wikipedia.org/wiki/Electrical_conductor
Electrical polarity	https://en.wikipedia.org/wiki/Electrical_polarity
Electrical resistance and conductance	https://en.wikipedia.org/wiki/Electrical_resistance_and_conductance
Electromagnetic radiation	https://en.wikipedia.org/wiki/Electromagnetic_radiation
Electromagnetic spectrum	https://en.wikipedia.org/wiki/Electromagnetic_spectrum
Electromotive force	https://en.wikipedia.org/wiki/Electromotive_force
Electron	https://en.wikipedia.org/wiki/Electron
Electroscope	https://en.wikipedia.org/wiki/Electroscope
Electrostatics	https://en.wikipedia.org/wiki/Electrostatics
Elementary matrix	https://en.wikipedia.org/wiki/Elementary_matrix
Ellipse	https://en.wikipedia.org/wiki/Ellipse
Emission spectrum	https://en.wikipedia.org/wiki/Emission_spectrum
Empty set	https://en.wikipedia.org/wiki/Empty_set
Empty sum	https://en.wikipedia.org/wiki/Empty_sum
Energy	https://en.wikipedia.org/wiki/Energy
Energy level	https://en.wikipedia.org/wiki/Energy_level
Ensemble learning	https://en.wikipedia.org/wiki/Ensemble_learning
Equality (mathematics)	https://en.wikipedia.org/wiki/Equality_(mathematics)
Equation	https://en.wikipedia.org/wiki/Equation
Equation solving	https://en.wikipedia.org/wiki/Equation_solving
Equations of motion	https://en.wikipedia.org/wiki/Equations_of_motion
Equilateral triangle	https://en.wikipedia.org/wiki/Equilateral_triangle
Euclidean vector	https://en.wikipedia.org/wiki/Euclidean_vector
Even and odd functions	https://en.wikipedia.org/wiki/Even_and_odd_functions
Expert system	https://en.wikipedia.org/wiki/Expert_system
Exponential growth	https://en.wikipedia.org/wiki/Exponential_growth
Exponentiation	https://en.wikipedia.org/wiki/Exponentiation
Expression (mathematics)	https://en.wikipedia.org/wiki/Expression_(mathematics)
F1 score	https://en.wikipedia.org/wiki/F1_score
Face (geometry)	https://en.wikipedia.org/wiki/Face_(geometry)
Factorization	https://en.wikipedia.org/wiki/Factorization
Fatigue (material)	https://en.wikipedia.org/wiki/Fatigue_(material)
Feedforward neural network	https://en.wikipedia.org/wiki/Feedforward_neural_network
Field (physics)	https://en.wikipedia.org/wiki/Field_(physics)
Field line	https://en.wikipedia.org/wiki/Field_line
Focus (geometry)	https://en.wikipedia.org/wiki/Focus_(geometry)
Force	https://en.wikipedia.org/wiki/Force
Formula	https://en.wikipedia.org/wiki/Formula
Fracture	https://en.wikipedia.org/wiki/Fracture
Frame of reference	https://en.wikipedia.org/wiki/Frame_of_reference
Free body diagram	https://en.wikipedia.org/wiki/Free_body_diagram
Free fall	https://en.wikipedia.org/wiki/Free_fall
Frequency	https://en.wikipedia.org/wiki/Frequency
Friction	https://en.wikipedia.org/wiki/Friction
Function (mathematics)	https://en.wikipedia.org/wiki/Function_(mathematics)
Function composition	https://en.wikipedia.org/wiki/Function_composition
Fundamental theorem of algebra	https://en.wikipedia.org/wiki/Fundamental_theorem_of_algebra
Genetic algorithm	https://en.wikipedia.org/wiki/Genetic_algorithm
Geometric progression	https://en.wikipedia.org/wiki/Geometric_progression
Geometric series	https://en.wikipedia.org/wiki/Geometric_series
Geometrical optics	https://en.wikipedia.org/wiki/Geometrical_optics
Geometry	https://en.wikipedia.org/wiki/Geometry
Grade (slope)	https://en.wikipedia.org/wiki/Grade_(slope)
Gradient descent	https://en.wikipedia.org/wiki/Gradient_descent
Graph of a function	https://en.wikipedia.org/wiki/Graph_of_a_function
Gravitational acceleration	https://en.wikipedia.org/wiki/Gravitational_acceleration
Gravitational constant	https://en.wikipedia.org/wiki/Gravitational_constant
Gravitational field	https://en.wikipedia.org/wiki/Gravitational_field
Gravity	https://en.wikipedia.org/wiki/Gravity
Gravity of Earth	https://en.wikipedia.org/wiki/Gravity_of_Earth
Hardness	https://en.wikipedia.org/wiki/Hardness
Hendecagon	https://en.wikipedia.org/wiki/Hendecagon
Heptagon	https://en.wikipedia.org/wiki/Heptagon
Hertz	https://en.wikipedia.org/wiki/Hertz
Hexagon	https://en.wikipedia.org/wiki/Hexagon
Hierarchical clustering	https://en.wikipedia.org/wiki/Hierarchical_clustering
Histogram	https://en.wikipedia.org/wiki/Histogram
Hooke's law	https://en.wikipedia.org/wiki/Hooke%27s_law
Huygens–Fresnel principle	https://en.wikipedia.org/wiki/Huygens%E2%80%93Fresnel_principle
Hyperbola	https://en.wikipedia.org/wiki/Hyperbola
Hyperplane	https://en.wikipedia.org/wiki/Hyperplane
Identity (mathematics)	https://en.wikipedia.org/wiki/Identity_(mathematics)
Identity matrix	https://en.wikipedia.org/wiki/Identity_matrix
Image (mathematics)	https://en.wikipedia.org/wiki/Image_(mathematics)
Inelastic collision	https://en.wikipedia.org/wiki/Inelastic_collision
Inequality (mathematics)	https://en.wikipedia.org/wiki/Inequality_(mathematics)
Inertial frame of reference	https://en.wikipedia.org/wiki/Inertial_frame_of_reference
Infinity	https://en.wikipedia.org/wiki/Infinity
Information retrieval	https://en.wikipedia.org/wiki/Information_retrieval
Injective function	https://en.wikipedia.org/wiki/Injective_function
Insulator (electricity)	https://en.wikipedia.org/wiki/Insulator_(electricity)
Integer	https://en.wikipedia.org/wiki/Integer
Interquartile range	https://en.wikipedia.org/wiki/Interquartile_range
Interval (mathematics)	https://en.wikipedia.org/wiki/Interval_(mathematics)
Inverse element	https://en.wikipedia.org/wiki/Inverse_element
Inverse function	https://en.wikipedia.org/wiki/Inverse_function
Inverse trigonometric functions	https://en.wikipedia.org/wiki/Inverse_trigonometric_functions
Invertible matrix	https://en.wikipedia.org/wiki/Invertible_matrix
Isosceles triangle	https://en.wikipedia.org/wiki/Isosceles_triangle
Joint probability distribution	https://en.wikipedia.org/wiki/Joint_probability_distribution
Joule	https://en.wikipedia.org/wiki/Joule
K-means clustering	https://en.wikipedia.org/wiki/K-means_clustering
K-medoids	https://en.wikipedia.org/wiki/K-medoids
Kilogram	https://en.wikipedia.org/wiki/Kilogram
Kinetic energy	https://en.wikipedia.org/wiki/Kinetic_energy
Kite (geometry)	https://en.wikipedia.org/wiki/Kite_(geometry)
Knowledge base	https://en.wikipedia.org/wiki/Knowledge_base
Laser	https://en.wikipedia.org/wiki/Laser
Law of sines	https://en.wikipedia.org/wiki/Law_of_sines
Least squares	https://en.wikipedia.org/wiki/Least_squares
Length	https://en.wikipedia.org/wiki/Length
Lever	https://en.wikipedia.org/wiki/Lever
Light	https://en.wikipedia.org/wiki/Light
Likelihood function	https://en.wikipedia.org/wiki/Likelihood_function
Limit (mathematics)	https://en.wikipedia.org/wiki/Limit_(mathematics)
Limit of a function	https://en.wikipedia.org/wiki/Limit_of_a_function
Limit of a sequence	https://en.wikipedia.org/wiki/Limit_of_a_sequence
Line (geometry)	https://en.wikipedia.org/wiki/Line_(geometry)
Line segment	https://en.wikipedia.org/wiki/Line_segment
Linear equation	https://en.wikipedia.org/wiki/Linear_equation
Linear regression	https://en.wikipedia.org/wiki/Linear_regression
List of mathematical symbols	https://en.wikipedia.org/wiki/List_of_mathematical_symbols
Logarithm	https://en.wikipedia.org/wiki/Logarithm
Logistic function	https://en.wikipedia.org/wiki/Logistic_function
Machine learning	https://en.wikipedia.org/wiki/Machine_learning
Magnet	https://en.wikipedia.org/wiki/Magnet
Magnetic field	https://en.wikipedia.org/wiki/Magnetic_field
Magnetism	https://en.wikipedia.org/wiki/Magnetism
Magnification	https://en.wikipedia.org/wiki/Magnification
Main diagonal	https://en.wikipedia.org/wiki/Main_diagonal
Mass	https://en.wikipedia.org/wiki/Mass
Mathematical analysis	https://en.wikipedia.org/wiki/Mathematical_analysis
Mathematical induction	https://en.wikipedia.org/wiki/Mathematical_induction
Mathematical proof	https://en.wikipedia.org/wiki/Mathematical_proof
Mathematics	https://en.wikipedia.org/wiki/Mathematics
Matrix (mathematics)	https://en.wikipedia.org/wiki/Matrix_(mathematics)
Matrix multiplication	https://en.wikipedia.org/wiki/Matrix_multiplication
Maxima and minima	https://en.wikipedia.org/wiki/Maxima_and_minima
Maximum likelihood estimation	https://en.wikipedia.org/wiki/Maximum_likelihood_estimation
Mechanical energy	https://en.wikipedia.org/wiki/Mechanical_energy
Median	https://en.wikipedia.org/wiki/Median
Mereology	https://en.wikipedia.org/wiki/Mereology
Metre	https://en.wikipedia.org/wiki/Metre
Midpoint	https://en.wikipedia.org/wiki/Midpoint
Minimum description length	https://en.wikipedia.org/wiki/Minimum_description_length
Minkowski distance	https://en.wikipedia.org/wiki/Minkowski_distance
Minor (linear algebra)	https://en.wikipedia.org/wiki/Minor_(linear_algebra)
Mode (statistics)	https://en.wikipedia.org/wiki/Mode_(statistics)
Monomial	https://en.wikipedia.org/wiki/Monomial
Monotonic function	https://en.wikipedia.org/wiki/Monotonic_function
Motion	https://en.wikipedia.org/wiki/Motion
Multiplication	https://en.wikipedia.org/wiki/Multiplication
Multiplicative inverse	https://en.wikipedia.org/wiki/Multiplicative_inverse
Natural logarithm	https://en.wikipedia.org/wiki/Natural_logarithm
Natural number	https://en.wikipedia.org/wiki/Natural_number
Natural selection	https://en.wikipedia.org/wiki/Natural_selection
Negative number	https://en.wikipedia.org/wiki/Negative_number
Newton's law of universal gravitation	https://en.wikipedia.org/wiki/Newton%27s_law_of_universal_gravitation
Newton's laws of motion	https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion
Non-inertial reference frame	https://en.wikipedia.org/wiki/Non-inertial_reference_frame
Nonagon	https://en.wikipedia.org/wiki/Nonagon
Nonlinear system	https://en.wikipedia.org/wiki/Nonlinear_system
Nth root	https://en.wikipedia.org/wiki/Nth_root
Null hypothesis	https://en.wikipedia.org/wiki/Null_hypothesis
Number	https://en.wikipedia.org/wiki/Number
Octagon	https://en.wikipedia.org/wiki/Octagon
Ohm	https://en.wikipedia.org/wiki/Ohm
Ohm's law	https://en.wikipedia.org/wiki/Ohm%27s_law
Ohmmeter	https://en.wikipedia.org/wiki/Ohmmeter
Open set	https://en.wikipedia.org/wiki/Open_set
Operation (mathematics)	https://en.wikipedia.org/wiki/Operation_(mathematics)
Optical microscope	https://en.wikipedia.org/wiki/Optical_microscope
Outlier	https://en.wikipedia.org/wiki/Outlier
Parallel (geometry)	https://en.wikipedia.org/wiki/Parallel_(geometry)
Parallelogram	https://en.wikipedia.org/wiki/Parallelogram
Parametric equation	https://en.wikipedia.org/wiki/Parametric_equation
Parity (mathematics)	https://en.wikipedia.org/wiki/Parity_(mathematics)
Partial fraction decomposition	https://en.wikipedia.org/wiki/Partial_fraction_decomposition
Pentagon	https://en.wikipedia.org/wiki/Pentagon
Periodic function	https://en.wikipedia.org/wiki/Periodic_function
Perpendicular	https://en.wikipedia.org/wiki/Perpendicular
Phase velocity	https://en.wikipedia.org/wiki/Phase_velocity
Photoelectric effect	https://en.wikipedia.org/wiki/Photoelectric_effect
Physical quantity	https://en.wikipedia.org/wiki/Physical_quantity
Physics	https://en.wikipedia.org/wiki/Physics
Piecewise	https://en.wikipedia.org/wiki/Piecewise
Pigment	https://en.wikipedia.org/wiki/Pigment
Pitch (music)	https://en.wikipedia.org/wiki/Pitch_(music)
Plane (geometry)	https://en.wikipedia.org/wiki/Plane_(geometry)
Plane curve	https://en.wikipedia.org/wiki/Plane_curve
Planet	https://en.wikipedia.org/wiki/Planet
Plasticity (physics)	https://en.wikipedia.org/wiki/Plasticity_(physics)
Point (geometry)	https://en.wikipedia.org/wiki/Point_(geometry)
Poisson regression	https://en.wikipedia.org/wiki/Poisson_regression
Polar coordinate system	https://en.wikipedia.org/wiki/Polar_coordinate_system
Polygon	https://en.wikipedia.org/wiki/Polygon
Polyhedron	https://en.wikipedia.org/wiki/Polyhedron
Polynomial	https://en.wikipedia.org/wiki/Polynomial
Polynomial long division	https://en.wikipedia.org/wiki/Polynomial_long_division
Position (geometry)	https://en.wikipedia.org/wiki/Position_(geometry)
Posterior probability	https://en.wikipedia.org/wiki/Posterior_probability
Potential energy	https://en.wikipedia.org/wiki/Potential_energy
Power (physics)	https://en.wikipedia.org/wiki/Power_(physics)
Precision and recall	https://en.wikipedia.org/wiki/Precision_and_recall
Prime number	https://en.wikipedia.org/wiki/Prime_number
Principal component analysis	https://en.wikipedia.org/wiki/Principal_component_analysis
Prior probability	https://en.wikipedia.org/wiki/Prior_probability
Prism (geometry)	https://en.wikipedia.org/wiki/Prism_(geometry)
Probability density function	https://en.wikipedia.org/wiki/Probability_density_function
Product topology	https://en.wikipedia.org/wiki/Product_topology
Projectile motion	https://en.wikipedia.org/wiki/Projectile_motion
Pyramid (geometry)	https://en.wikipedia.org/wiki/Pyramid_(geometry)
Pythagorean theorem	https://en.wikipedia.org/wiki/Pythagorean_theorem
Pythagorean triple	https://en.wikipedia.org/wiki/Pythagorean_triple
Quadrant (plane geometry)	https://en.wikipedia.org/wiki/Quadrant_(plane_geometry)
Quadratic equation	https://en.wikipedia.org/wiki/Quadratic_equation
Quadratic function	https://en.wikipedia.org/wiki/Quadratic_function
Quadrilateral	https://en.wikipedia.org/wiki/Quadrilateral
Quartile	https://en.wikipedia.org/wiki/Quartile
Query language	https://en.wikipedia.org/wiki/Query_language
Radius	https://en.wikipedia.org/wiki/Radius
Random forest	https://en.wikipedia.org/wiki/Random_forest
Rational function	https://en.wikipedia.org/wiki/Rational_function
Rational number	https://en.wikipedia.org/wiki/Rational_number
Rational root theorem	https://en.wikipedia.org/wiki/Rational_root_theorem
Rationalisation (mathematics)	https://en.wikipedia.org/wiki/Rationalisation_(mathematics)
Ray (optics)	https://en.wikipedia.org/wiki/Ray_(optics)
Real number	https://en.wikipedia.org/wiki/Real_number
Receiver operating characteristic	https://en.wikipedia.org/wiki/Receiver_operating_characteristic
Rectangle	https://en.wikipedia.org/wiki/Rectangle
Reflection (mathematics)	https://en.wikipedia.org/wiki/Reflection_(mathematics)
Reflection (physics)	https://en.wikipedia.org/wiki/Reflection_(physics)
Refracting telescope	https://en.wikipedia.org/wiki/Refracting_telescope
Refraction	https://en.wikipedia.org/wiki/Refraction
Refractive index	https://en.wikipedia.org/wiki/Refractive_index
Regression analysis	https://en.wikipedia.org/wiki/Regression_analysis
Rhombus	https://en.wikipedia.org/wiki/Rhombus
Right angle	https://en.wikipedia.org/wiki/Right_angle
Right triangle	https://en.wikipedia.org/wiki/Right_triangle
Rotation (mathematics)	https://en.wikipedia.org/wiki/Rotation_(mathematics)
Sample (statistics)	https://en.wikipedia.org/wiki/Sample_(statistics)
Sampling (statistics)	https://en.wikipedia.org/wiki/Sampling_(statistics)
Scattering	https://en.wikipedia.org/wiki/Scattering
Scientific notation	https://en.wikipedia.org/wiki/Scientific_notation
Secant line	https://en.wikipedia.org/wiki/Secant_line
Self-similarity	https://en.wikipedia.org/wiki/Self-similarity
Series (mathematics)	https://en.wikipedia.org/wiki/Series_(mathematics)
Series and parallel circuits	https://en.wikipedia.org/wiki/Series_and_parallel_circuits
Set (mathematics)	https://en.wikipedia.org/wiki/Set_(mathematics)
Shock wave	https://en.wikipedia.org/wiki/Shock_wave
Sign (mathematics)	https://en.wikipedia.org/wiki/Sign_(mathematics)
Signal-to-noise ratio	https://en.wikipedia.org/wiki/Signal-to-noise_ratio
Similarity (geometry)	https://en.wikipedia.org/wiki/Similarity_(geometry)
Sine	https://en.wikipedia.org/wiki/Sine
Sine wave	https://en.wikipedia.org/wiki/Sine_wave
Slope	https://en.wikipedia.org/wiki/Slope
Snell's law	https://en.wikipedia.org/wiki/Snell%27s_law
Sonic boom	https://en.wikipedia.org/wiki/Sonic_boom
Sound	https://en.wikipedia.org/wiki/Sound
Sound intensity	https://en.wikipedia.org/wiki/Sound_intensity
Space (mathematics)	https://en.wikipedia.org/wiki/Space_(mathematics)
Specular reflection	https://en.wikipedia.org/wiki/Specular_reflection
Sphere	https://en.wikipedia.org/wiki/Sphere
Square	https://en.wikipedia.org/wiki/Square
Square (algebra)	https://en.wikipedia.org/wiki/Square_(algebra)
Square matrix	https://en.wikipedia.org/wiki/Square_matrix
Square root	https://en.wikipedia.org/wiki/Square_root
Standard deviation	https://en.wikipedia.org/wiki/Standard_deviation
Standing wave	https://en.wikipedia.org/wiki/Standing_wave
Star polygon	https://en.wikipedia.org/wiki/Star_polygon
Statistical classification	https://en.wikipedia.org/wiki/Statistical_classification
Statistical dispersion	https://en.wikipedia.org/wiki/Statistical_dispersion
Statistical hypothesis testing	https://en.wikipedia.org/wiki/Statistical_hypothesis_testing
Statistical population	https://en.wikipedia.org/wiki/Statistical_population
Statistical significance	https://en.wikipedia.org/wiki/Statistical_significance
Stiffness	https://en.wikipedia.org/wiki/Stiffness
Strength of materials	https://en.wikipedia.org/wiki/Strength_of_materials
Student's t-test	https://en.wikipedia.org/wiki/Student%27s_t-test
Subtraction	https://en.wikipedia.org/wiki/Subtraction
Subtractive color	https://en.wikipedia.org/wiki/Subtractive_color
Summation	https://en.wikipedia.org/wiki/Summation
Support vector machine	https://en.wikipedia.org/wiki/Support_vector_machine
Symmetry	https://en.wikipedia.org/wiki/Symmetry
System of equations	https://en.wikipedia.org/wiki/System_of_equations
System of linear equations	https://en.wikipedia.org/wiki/System_of_linear_equations
Tangent	https://en.wikipedia.org/wiki/Tangent
Telescope	https://en.wikipedia.org/wiki/Telescope
Temperature	https://en.wikipedia.org/wiki/Temperature
Tension (physics)	https://en.wikipedia.org/wiki/Tension_(physics)
Tessellation	https://en.wikipedia.org/wiki/Tessellation
Torque	https://en.wikipedia.org/wiki/Torque
Total internal reflection	https://en.wikipedia.org/wiki/Total_internal_reflection
Translation (geometry)	https://en.wikipedia.org/wiki/Translation_(geometry)
Transmission medium	https://en.wikipedia.org/wiki/Transmission_medium
Transverse wave	https://en.wikipedia.org/wiki/Transverse_wave
Trapezoid	https://en.wikipedia.org/wiki/Trapezoid
Triangle	https://en.wikipedia.org/wiki/Triangle
Triangle inequality	https://en.wikipedia.org/wiki/Triangle_inequality
Triangular matrix	https://en.wikipedia.org/wiki/Triangular_matrix
Trigonometric functions	https://en.wikipedia.org/wiki/Trigonometric_functions
Trigonometric tables	https://en.wikipedia.org/wiki/Trigonometric_tables
Trigonometry	https://en.wikipedia.org/wiki/Trigonometry
Two-dimensional space	https://en.wikipedia.org/wiki/Two-dimensional_space
Union (set theory)	https://en.wikipedia.org/wiki/Union_(set_theory)
Unit circle	https://en.wikipedia.org/wiki/Unit_circle
Vector field	https://en.wikipedia.org/wiki/Vector_field
Velocity	https://en.wikipedia.org/wiki/Velocity
Vertex (geometry)	https://en.wikipedia.org/wiki/Vertex_(geometry)
Voltage	https://en.wikipedia.org/wiki/Voltage
Voltmeter	https://en.wikipedia.org/wiki/Voltmeter
Wave	https://en.wikipedia.org/wiki/Wave
Wave interference	https://en.wikipedia.org/wiki/Wave_interference
Wavelength	https://en.wikipedia.org/wiki/Wavelength
Work (physics)	https://en.wikipedia.org/wiki/Work_(physics)
Zero of a function	https://en.wikipedia.org/wiki/Zero_of_a_function
Zeros and poles	https://en.wikipedia.org/wiki/Zeros_and_poles
